scraped_at,scrape_date,store_name,category_name,category_url,main_url,discovery_hint,source_url,product_name,brand,current_price_raw,previous_price_raw,unit_price_raw,package_raw,discount_raw,promo_raw,current_price_eur,previous_price_eur,source_product_url,error_message
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffè Crema ganze Bohne,,12.99,,,,,,12.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffè Crema ganze Bohne,,9.99,,,,,,9.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema e Gusto Bohne,,21.99,,,,,,21.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffè Crema Classico 18 Pads,,5.49,,,,,,5.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffé Crema Mild 1 kg,,23.99,,,,,,23.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Cafissimo Crema Vollmundig 96 Kapseln,,37.99,,,,,,37.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Cafissimo Caffé Crema mild Vorratsbox 30 Kapseln,,11.49,,,,,,11.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Alu Crema e Gusto Classico,,13.99,,,,,,13.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Trend Collection Caffè Crema Intenso ganze Bohne,,13.49,,,,,,13.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffe Crema 1 kg,,20.24,,,,,,20.24,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Selezione Crema ganze Bohne,,25.99,,,,,,25.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema Elegante 16 Pads,,7.99,,,,,,7.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffé Crema XL,,7.99,,,,,,7.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Cafissimo Crema vollmundig 10er-Packung,,4.49,,,,,,4.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Jacobs Caffé Crema,,7.99,,,,,,7.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Auslese Crema Bohne,,9.99,,,,,,9.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema Fairtrade,,19.99,,,,,,19.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema d´Oro ganze Bohnen,,20.99,,,,,,20.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Hornig Crema Lungo FT Alu NC 10er,,4.59,,,,,,4.59,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Home Barista Caffe Crema Dolce,,21.99,,,,,,21.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Home Barista Crema Rainforest,,21.99,,,,,,21.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Eduscho Caffe Crema Brasilien,,15.99,,,,,,15.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,NC Capsa CREMA D`ORO XXL 39er,,15.49,,,,,,15.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Bio Caffè Crema ganze Bohne,,21.99,,,,,,21.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Meinl NC Espresso Crema 30 Kapseln,,10.99,,,,,,10.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Home Barista Caffe Crema Forte,,21.99,,,,,,21.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema die Venezia ganze Bohne,,19.99,,,,,,19.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Caffe Crema Intense Kapseln,,4.49,,,,,,4.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Cafissimo Barista Crema,,4.49,,,,,,4.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Instant Crema Glas,,7.49,,,,,,7.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Collezione Crema,,13,,,,,,13,,,legacy_search
2026-03-26 13:18:24,2026-03-26,MPreis,,,,,,Weizenmehl universal Type 480,,1.89,,,,,,1.89,,,legacy_search
2026-03-26 13:18:24,2026-03-26,MPreis,,,,,,Weizenmehl universal Type 480,,0.75,,,,,,0.75,,,legacy_search
2026-03-26 13:18:24,2026-03-26,MPreis,,,,,,Weizenmehl universal Type 480,,1.79,,,,,,1.79,,,legacy_search
2026-03-26 13:18:24,2026-03-26,MPreis,,,,,,Weizenmehl Type 480 universal 1 kg,,1.69,,,,,,1.69,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,"Bergbauern Vollmilch länger frisch 3,5% 1,0 Liter (Einweg)",,1.75,,,,,,1.75,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,"Vollmilch länger frisch 3,5% (Einweg)",,1.39,,,,,,1.39,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,"Bergbauern Vollmilch länger frisch 3,5% 0,5 Liter (Einweg)",,1.19,,,,,,1.19,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,"Bio Tiroler Vollmilch 3,6% (Einweg)",,1.99,,,,,,1.99,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,"Formil H-Vollmilch 3,5% 1,0 Liter",,0.89,,,,,,0.89,,,legacy_search
2026-03-26 13:18:27,2026-03-26,MPreis,,,,,,Schokokekse Vollmilch,,1.99,,,,,,1.99,,,legacy_search
