scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes,category_name,preferred_brand_flag,canonical_score
2026-03-26 14:57:25,2026-03-26,Hofer,Nudeln,Spaghetti,Eigenmarke,CUCINA NOBILE Spaghetti,,1.35,,EUR,,,per Stück,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Spaghetti,,500 g Standardpackung,,FALSE,1
2026-03-26 14:57:27,2026-03-26,Hofer,Reis,Langkornreis,Eigenmarke,BON-RI Langkornreis,,1.29,,EUR,,,per Stück,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Langkornreis,,1 kg oder 500 g Standardpackung,,FALSE,1
2026-03-26 13:17:53,2026-03-26,Hofer,Schokolade,Vollmilchschokolade,Eigenmarke,"MOSER ROTH BIO-Schokolade, Vollmilchschokolade-Haselnuss",MOSER ROTH,2.19,,EUR,,,100 g,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,Tafelware,,FALSE,3
2026-03-26 14:57:30,2026-03-26,Hofer,Zwiebeln,Zwiebeln,Eigenmarke,"GOURMET FINEST CUISINE Borettane Zwiebeln, Aceto Balsamico",,1.59,,EUR,,,"per Stück (1 kg Abtr.G. = € 9,35 )",1,kg,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Zwiebeln,,1 kg oder Standardgebinde bevorzugt,,FALSE,4
2026-03-26 14:57:33,2026-03-26,Lidl,Bananen,Bananen,Eigenmarke,Deluxe Nussmus,Deluxe,4.99,,EUR,250,Je 250 g (1 kg = 19.96),Je 250 g (1 kg = 19.96),250,g,FALSE,,,,,lidl,https://www.lidl.at/q/search?q=Bananen,https://www.lidl.at/p/deluxe-nussmus/p10046051,lose Ware oder Standardbueschel,,FALSE,4
2026-03-26 13:17:56,2026-03-26,Lidl,Eier,Eier,Eigenmarke,Weiße Eier aus Bodenhaltung,,2.79,,EUR,,,<ul> <li>Gr&ouml;&szlig;e M/L</li> </ul>,,,FALSE,,,,,lidl,https://www.lidl.at/p/weisse-eier-aus-bodenhaltung/p10047011,https://www.lidl.at/p/weisse-eier-aus-bodenhaltung/p10047011,Packungsgroesse dokumentieren,,FALSE,1
2026-03-26 13:17:57,2026-03-26,Lidl,Fisch,Raeucherlachs,Eigenmarke,Norwegischer Räucherlachs mit Pistazien,Deluxe,3.99,,EUR,,,,,,FALSE,,,,,lidl,https://www.lidl.at/p/deluxe-norwegischer-raeucherlachs-mit-pistazien/p10045802,https://www.lidl.at/p/deluxe-norwegischer-raeucherlachs-mit-pistazien/p10045802,Moeglichst Standardprodukt,,FALSE,1
2026-03-26 13:17:59,2026-03-26,Lidl,Fleisch,Faschiertes gemischt,Eigenmarke,Frisches Faschiertes gemischt,FALSE,3.99,,EUR,1,Je 1 kg,Je 1 kg,1,kg,TRUE,,1+1 gratis,bundle,,lidl,https://www.lidl.at/q/search?q=Faschiertes%20gemischt,https://www.lidl.at/p/frisches-faschiertes-gemischt/p10046926,Frischware,,FALSE,5
2026-03-26 13:18:00,2026-03-26,Lidl,Kaese,Mozzarella,Eigenmarke,TRATTORIA ALFREDO Glutenfreie Pizza Calzone,TRATTORIA ALFREDO,3.49,,EUR,250,Je 250 g (1 kg = 13.96),Je 250 g (1 kg = 13.96),250,g,TRUE,,Aktion,discount,,lidl,https://www.lidl.at/q/search?q=Mozzarella,https://www.lidl.at/p/trattoria-alfredo-glutenfreie-pizza-calzone/p10046980,Kugel oder Standardpackung,,FALSE,4
2026-03-26 14:57:50,2026-03-26,Lidl,Kartoffeln,Kartoffeln,Eigenmarke,Bio Speisekartoffeln aus Österreich,FALSE,3,,EUR,3,Je 3 kg (1 kg = 1.-),Je 3 kg (1 kg = 1.-),3,kg,TRUE,,3 kg für,discount,,lidl,https://www.lidl.at/q/search?q=Kartoffeln,https://www.lidl.at/p/bio-speisekartoffeln-aus-oesterreich/p10046890,mehlig oder festkochend falls Standard,,FALSE,5
2026-03-26 14:58:01,2026-03-26,MPreis,Aepfel,Aepfel,Eigenmarke,Apfelgoldessig,,1.79,,EUR,1.79,"1,79€ /l",1l,1,l,TRUE,-25,-25%,discount,"2,39",mpreis,https://www.mpreis.at/search/Aepfel,,1 kg oder Standardgebinde bevorzugt,,FALSE,5
2026-03-26 14:58:03,2026-03-26,MPreis,Bananen,Bananen,Eigenmarke,"Happy Day Banane 1,0 Liter (Einweg)",,1.99,,EUR,1.99,"1,99€ /l",1l,1,l,TRUE,,,multi_buy,Ab 2 Stk. je,mpreis,https://www.mpreis.at/search/Bananen,,lose Ware oder Standardbueschel,,FALSE,5
2026-03-26 14:58:06,2026-03-26,MPreis,Brot,Toastbrot,Eigenmarke,Bäckerland Toastbrot,,1.09,,EUR,2.18,"2,18€ /kg",500g,500,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Toastbrot,,Standardpackung bevorzugt,,FALSE,4
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter,,1.49,,EUR,11.92,"11,92€ /kg",125g,125,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter,,FALSE,4
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Freilandeier,,0.59,,EUR,0.59,"0,59€ /Stk",1STK,1,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren,,FALSE,3
2026-03-26 13:18:14,2026-03-26,MPreis,Fisch,Raeucherlachs,Eigenmarke,Räucherlachs Pate,,3.69,,EUR,36.9,"36,90€ /kg",100g,100,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Raeucherlachs,,Moeglichst Standardprodukt,,FALSE,4
2026-03-26 13:18:17,2026-03-26,MPreis,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes mager gemischt,,5.49,,EUR,18.3,"18,30€ /kg",300g,300,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,Frischware,,FALSE,4
2026-03-26 14:58:16,2026-03-26,MPreis,Haferflocken,Haferflocken,Eigenmarke,Haferflocken zart und locker,,0.75,,EUR,1.5,"1,50€ /kg",500g,500,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Haferflocken,,500 g oder 1 kg bevorzugt,,FALSE,4
2026-03-26 13:18:19,2026-03-26,MPreis,Kaese,Mozzarella,Eigenmarke,Galbani Mozzarella Scheiben Baguette,,9.59,,EUR,9.59,"9,59€ /kg",1kg,1,kg,FALSE,,,,,mpreis,https://www.mpreis.at/search/Mozzarella,,Kugel oder Standardpackung,,FALSE,5
2026-03-26 13:18:22,2026-03-26,MPreis,Kaffee,Kaffee Crema,Eigenmarke,Crema Elegante ganze Bohne,,15.99,,EUR,15.99,"15,99€ /kg",1kg,1,kg,TRUE,-30,-30%,discount,"22,99",mpreis,https://www.mpreis.at/search/Kaffee%20Crema,,Ganze Bohne wenn verfuegbar,,FALSE,5
2026-03-26 14:58:27,2026-03-26,MPreis,Karotten,Karotten,Eigenmarke,Karotten Beutel 1 kg,,1.49,,EUR,1.49,"1,49€ /kg",1kg,1,kg,FALSE,,,,,mpreis,https://www.mpreis.at/search/Karotten,,1 kg oder Standardgebinde bevorzugt,,FALSE,5
2026-03-26 13:18:24,2026-03-26,MPreis,Mehl,Weizenmehl universal,Eigenmarke,Weizenmehl universal Type 480,,0.75,,EUR,0.75,"0,75€ /kg",1kg,1,kg,FALSE,,,,,mpreis,https://www.mpreis.at/search/Weizenmehl%20universal,,1kg bevorzugt,,FALSE,5
2026-03-26 13:18:27,2026-03-26,MPreis,Milch,Vollmilch,Eigenmarke,"Formil H-Vollmilch 3,5% 1,0 Liter",,0.89,,EUR,0.89,"0,89€ /l",1l,1,l,TRUE,,,multi_buy,Ab 2 Stk. je,mpreis,https://www.mpreis.at/search/Vollmilch,,3.5 Prozent oder aehnlich,,FALSE,5
2026-03-26 14:58:38,2026-03-26,MPreis,Nudeln,Spaghetti,Eigenmarke,Familie Dralli,,3.99,,EUR,3.99,"3,99€ /kg",1kg,1,kg,FALSE,,,,,mpreis,https://www.mpreis.at/search/Spaghetti,,500 g Standardpackung,,FALSE,5
2026-03-26 13:18:30,2026-03-26,MPreis,Schokolade,Vollmilchschokolade,Eigenmarke,Schokolade Alpenvollmilch,,0.89,,EUR,8.9,"8,90€ /kg",100g,100,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Vollmilchschokolade,,Tafelware,,FALSE,4
2026-03-26 14:58:48,2026-03-26,MPreis,Zwiebeln,Zwiebeln,Eigenmarke,Zwiebel,,1.29,,EUR,1.29,"1,29€ /kg",1kg,1,kg,FALSE,,,,,mpreis,https://www.mpreis.at/search/Zwiebeln,,1 kg oder Standardgebinde bevorzugt,,FALSE,5
2026-03-27 12:44:17,2026-03-27,Billa,Butter,Teebutter,Eigenmarke,Ja! Natürlich Butter,Ja! Natürlich,3.19,2.69,EUR,1,"1 kg 12,76 €",Ja! Natürlich 250 g Packung,250,g,TRUE,,,multi_buy,ab 2 Packungen,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Streichfaehige oder klassische Butter,,FALSE,4
