scraped_at,scrape_date,store_name,food_group,category_name,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-05-10T09:19:52+0200,2026-05-10,Hofer,Fleisch,Fleisch,Faschiertes gemischt,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:19:55+0200,2026-05-10,Hofer,Haferflocken,Haferflocken,Haferflocken,Eigenmarke,"HAPPY HARVEST Haferflocken, Zart",HAPPY HARVEST,0.69,,EUR,,,500 g,500,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.happy-harvest-haferflocken-zart.000000000111434001.html,https://www.hofer.at/de/p.happy-harvest-haferflocken-zart.000000000111434001.html,500 g oder 1 kg bevorzugt
2026-05-10T09:19:57+0200,2026-05-10,Hofer,Joghurt,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/p.milfina-naturjoghurt--fett.000000000112360001.html,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:19:59+0200,2026-05-10,Hofer,Kaese,Kaese,Mozzarella,Eigenmarke,ZURÜCK ZUM URSPRUNG BIO-Bergbauern Mozzarella,ZURÜCK ZUM URSPRUNG,1.39,,EUR,,,125 g,125,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,Kugel oder Standardpackung
2026-05-10T09:20:00+0200,2026-05-10,Hofer,Kaffee,Kaffee,Kaffee Crema,Eigenmarke,BARISSIMO Crema Intenso,BARISSIMO,5.49,,EUR,,,500 g Günstiger seit 24.10.2025,500,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,Ganze Bohne wenn verfuegbar
2026-05-10T09:20:02+0200,2026-05-10,Hofer,Karotten,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Karotten,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:04+0200,2026-05-10,Hofer,Kartoffeln,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:05+0200,2026-05-10,Hofer,Mehl,Mehl,Weizenmehl universal,Eigenmarke,"HAPPY HARVEST Weizenmehl gemischt, Universal",HAPPY HARVEST,0.75,,EUR,,,1 kg,1,kg,FALSE,,,,,hofer,https://www.hofer.at/de/p.happy-harvest-weizenmehl-gemischt-universal.000000000101923002.html,https://www.hofer.at/de/p.happy-harvest-weizenmehl-gemischt-universal.000000000101923002.html,1kg bevorzugt
2026-05-10T09:20:07+0200,2026-05-10,Hofer,Milch,Milch,Vollmilch,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Bergbauern länger frisch Vollmilch 3,6 % Fett*",ZURÜCK ZUM URSPRUNG,1.79,,EUR,,,1 l,1,l,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-laenger-frisch-vollmilch---fett.000000000000106885.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-laenger-frisch-vollmilch---fett.000000000000106885.html,3.5 Prozent oder aehnlich
2026-05-10T09:20:09+0200,2026-05-10,Hofer,Nudeln,Nudeln,Spaghetti,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/p.barilla-spaghetti.000000000000108993.html,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:10+0200,2026-05-10,Hofer,Reis,Reis,Langkornreis,Eigenmarke,BON-RI Langkornreis,BON-RI,1.29,,EUR,,,1 kg,1,kg,FALSE,,,,,hofer,https://www.hofer.at/de/p.bon-ri-langkornreis.000000000000488808.html,https://www.hofer.at/de/p.bon-ri-langkornreis.000000000000488808.html,1 kg oder 500 g Standardpackung
2026-05-10T09:20:11+0200,2026-05-10,Hofer,Schokolade,Schokolade,Vollmilchschokolade,Eigenmarke,"MOSER ROTH BIO-Schokolade, Vollmilchschokolade-Haselnuss",MOSER ROTH,2.19,,EUR,,,100 g,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,Tafelware
2026-05-10T09:20:13+0200,2026-05-10,Hofer,Zwiebeln,Zwiebeln,Zwiebeln,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Zwiebeln,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:14+0200,2026-05-10,Lidl,Aepfel,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/aepfel-rot-aus-oesterreich/p10047420,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:16+0200,2026-05-10,Lidl,Bananen,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/bananen/p10047876,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:17+0200,2026-05-10,Lidl,Brot,Brot,Toastbrot,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/oelz-butter-toast/p10041861,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:19+0200,2026-05-10,Lidl,Butter,Butter,Teebutter,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/schaerdinger-sommerbutter/p10046703,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:20+0200,2026-05-10,Lidl,Eier,Eier,Eier,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/weisse-eier-aus-bodenhaltung/p10047011,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:22+0200,2026-05-10,Lidl,Fisch,Fisch,Raeucherlachs,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/deluxe-norwegischer-raeucherlachs-mit-pistazien/p10045802,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:24+0200,2026-05-10,Lidl,Fleisch,Fleisch,Faschiertes gemischt,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/frisches-faschiertes-gemischt/p10046926,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:25+0200,2026-05-10,Lidl,Haferflocken,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/crownfield-haferflocken/p10043068,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:27+0200,2026-05-10,Lidl,Joghurt,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/alpengut-naturjoghurt/p10047577,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:28+0200,2026-05-10,Lidl,Kaese,Kaese,Mozzarella,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/alpengut-mozzarella-in-scheiben/p10047169,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:29+0200,2026-05-10,Lidl,Kaffee,Kaffee,Kaffee Crema,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/fairglobe-fairtrade-bio-caffe-crema/p10047589,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:31+0200,2026-05-10,Lidl,Karotten,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/karotten-aus-oesterreich/p10046159,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:32+0200,2026-05-10,Lidl,Kartoffeln,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/speisekartoffeln-aus-oesterreich/p10047419,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:34+0200,2026-05-10,Lidl,Mehl,Mehl,Weizenmehl universal,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/omas-backstube-weizenmehl/p10046129,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:35+0200,2026-05-10,Lidl,Milch,Milch,Vollmilch,Eigenmarke,ALPENGUT Vollmilch länger frisch,ALPENGUT,,,EUR,,,"<ul> <li>Testergebnis: Gut</li> <li>Gestestet wurde von der &Ouml;GVS im Rahmen der Studie ,,Vollmilch (l&auml;nger frisch) 2025"" (04/2025)</li> <li>Eine Zusammenfassung der Studie findet sich <a href=""https://www.qualitaetstest.at/tests/test- vollmilch-35-laenger-frisch-sensorische-pruefung/"">hier</a></li> </ul>",,,FALSE,,,,,lidl,https://www.lidl.at/p/alpengut-vollmilch-laenger-frisch/p10032274,https://www.lidl.at/p/alpengut-vollmilch-laenger-frisch/p10032274,3.5 Prozent oder aehnlich
2026-05-10T09:20:37+0200,2026-05-10,Lidl,Nudeln,Nudeln,Spaghetti,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/combino-spaghetti-oder-penne-rigate/p10040600,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:38+0200,2026-05-10,Lidl,Reis,Reis,Langkornreis,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/ben-s-original-express-reis/p10046429,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:40+0200,2026-05-10,Lidl,Schokolade,Schokolade,Vollmilchschokolade,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/nostja-milchschokolade/p10038896,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:41+0200,2026-05-10,Lidl,Zwiebeln,Zwiebeln,Zwiebeln,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/zwiebeln-rot-aus-oesterreich/p10047749,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:20:45+0200,2026-05-10,MPreis,Aepfel,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Aepfel,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:48+0200,2026-05-10,MPreis,Bananen,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Bananen,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
