scraped_at,scrape_date,store_name,source_url,product_name,brand,current_price_raw,previous_price_raw,unit_price_raw,package_raw,discount_raw,promo_raw,current_price_eur,previous_price_eur,source_product_url,error_message
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Williams Schnaps 35% (Einweg),,"19,99
19,99€ /l",,"19,99€ /l",1000ml,,,19.99,,https://www.mpreis.at/shop/p/dolomiti-williams-schnaps-35-800764,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Marillen-Edelbrand 40% (Einweg),,"15,99
31,98€ /l",,"31,98€ /l",500ml,,,15.99,,https://www.mpreis.at/shop/p/dolomiti-marillen-edelbrand-40-800710,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Korn 32% (Einweg),,"8,99
8,99€ /l",,"8,99€ /l",1000ml,,,8.99,,https://www.mpreis.at/shop/p/spatzl-korn-32-122254,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Edelbrand William-Birne 40% (Einweg),,"15,99
31,98€ /l",,"31,98€ /l",500ml,,,15.99,,https://www.mpreis.at/shop/p/dolomiti-edelbrand-william-birne-40-800706,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,5 Stern (Einweg),,"Aktueller Preis 14,99 €, statt 19,99 €
19,99
14,99
21,41€ /l",,"21,41€ /l",700ml,-25%,"19,99",14.99,,https://www.mpreis.at/shop/p/metaxa-5-stern-817834,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Pfirsichhälften leicht gezuckert,,"1,99
4,28€ /kg",,"4,28€ /kg",465g,,,1.99,,https://www.mpreis.at/shop/p/jeden-tag-pfirsichhaelften-leicht-gezuckert-223701,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,"Fruchtcocktail gezuckert 0,425 Liter",,"2,89
11,56€ /kg",,"11,56€ /kg",250g,,,2.89,,https://www.mpreis.at/shop/p/beach-flower-fruchtcocktail-gezuckert-0425-liter-224943,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,"Marillen Schnaps 35% 1,0 Liter (Einweg)",,"19,99
19,99€ /l",,"19,99€ /l",1000ml,,,19.99,,https://www.mpreis.at/shop/p/dolomiti-marillen-schnaps-35-10-liter-800763,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Ananasstücke in Saft,,"3,19
9,38€ /kg",,"9,38€ /kg",340g,,,3.19,,https://www.mpreis.at/shop/p/dole-ananasstuecke-in-saft-223445,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Bio Apfelmus Birne,,"1,79
4,97€ /kg",,"4,97€ /kg",360g,,,1.79,,https://www.mpreis.at/shop/p/bio-vom-berg-bio-apfelmus-birne-225408,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Zirbengeist 40% (Einweg),,"15,99
31,98€ /l",,"31,98€ /l",500ml,,,15.99,,https://www.mpreis.at/shop/p/dolomiti-zirbengeist-40-800924,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Bio Apfelmus Mango,,"1,79
4,97€ /kg",,"4,97€ /kg",360g,,,1.79,,https://www.mpreis.at/shop/p/bio-vom-berg-bio-apfelmus-mango-225406,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,Meisterspirituose 34% (Einweg),,"13,99
13,99€ /l",,"13,99€ /l",1000ml,,,13.99,,https://www.mpreis.at/shop/p/scharlachberg-meisterspirituose-34-119001,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,"Williams-Birnen-Schnaps 35% 0,7 Liter (Einweg)",,"14,99
21,41€ /l",,"21,41€ /l",700ml,,,14.99,,https://www.mpreis.at/shop/p/alpenherz-williams-birnen-schnaps-35-07-liter-112612,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,5-Fruchtcocktail,,"2,49
4,98€ /kg",,"4,98€ /kg",500g,,,2.49,,https://www.mpreis.at/shop/p/jeden-tag-5-fruchtcocktail-223702,
2026-05-04T13:37:19+0200,2026-05-04,MPreis,https://www.mpreis.at/search/obst,"Haselnussschnaps 35% 1,0 Liter (Einweg)",,"19,99
19,99€ /l",,"19,99€ /l",1000ml,,,19.99,,https://www.mpreis.at/shop/p/dolomiti-haselnussschnaps-35-10-liter-815000,
